xYear,State,County,Zip,rundatetime,Rx_count_Pat,Rx_count_Pph,Rx_count_Dis,Pat_count,PillCount_Total_Pph,PillCount_Total_Dis,PillCount_Total_Pat,RxCount_Total_Pat,PillCount_Mean_Pat,PatCount_OpBenzo_Pat,MoEquiv_Total_Pph,Schedule2_Rx_Total_Pph,Schedule234Multi_Pat_Total_Pat,PillCount_Schedule234_Rx_Pph,RxCount_Schedule234_Rx_Pph,PillMean_Schedule234_Rx_Pph,PillCount_Schedule2_Rx_Pph,RxCount_Schedule2_Rx_Pph,PillMean_Schedule2_Rx_Pph,RegCount_Pph,RegCount_Dis,PatCount_MultiDisp,PatCount_MultiRxer,InqCount_Pph,InqCount_Dis,PphCount_RxBenzoOpioid,PatCount_Rx90MME,PatCount_Rx40Methadone,Population,Rx Count Pph per 100000,,PatCount_OpBenzo_Pat,RxCount_Schedule234_Rx_Pph,PatCount_MultiDisp,PatCount_MultiRxer
2016,CA,Los Angeles,90637,10SEP2017:10:31:20,53,0,0,37,0,0,2480,49,50.6,0,,0,2,0,0,,0,0,,0,1,0,1,0,0,0,0,0,,#DIV/0!,,,,,
2016,CA,Los Angeles,90638,04APR2021:08:30:51,13984,9965,12569,5551,682477,917068,889911,13220,67.3,748,502012,4755,147,35610.5,588,60.6,673990,9290,72.6,66,52,1,446,4073,20768,26,558,11,"49,012",20331.75549,,,,,
2016,CA,Los Angeles,90639,10SEP2017:10:31:20,24,1,0,15,30,0,875,24,36.5,0,27,56,1,0,0,,3010,78,38.6,2,0,0,2,0,0,0,0,0,,#DIV/0!,,,,,
2016,CA,Los Angeles,90640,04APR2021:08:30:51,11914,11580,12000,5974,579103,795246,626263,11478,54.6,966,361230,4478,153,33910,599,56.6,521375,9037,57.7,150,42,2,334,1891,26305,65,357,17,"62,549",18513.48543,,,,,
2016,CA,Los Angeles,90650,04APR2021:08:30:51,23222,5487,14612,10123,348302,1009899,1320848,22379,59,555,170050,4092,240,40901,608,67.3,568721,7879,72.2,76,64,1,608,607,34844,24,196,2,"105,549",5198.533383,,,,,
2016,CA,Los Angeles,90651,10SEP2017:10:31:20,105,0,0,47,0,0,5185,103,50.3,0,,0,2,0,0,,0,0,,0,0,0,6,0,0,0,0,0,,#DIV/0!,,,,,
2016,CA,Los Angeles,90652,10SEP2017:10:31:20,42,0,0,9,0,0,2726,42,64.9,0,,0,3,0,0,,0,0,,0,0,0,2,0,0,0,0,0,,#DIV/0!,,,,,
2016,CA,Los Angeles,90660,04APR2021:08:30:51,14545,7522,8153,6565,462728,573690,803597,14122,56.9,550,250870,3214,160,41623,684,60.9,405745,6417,63.2,49,29,2,423,16478,13251,22,238,5,"62,928",11953.3435,,,,,
2016,CA,Los Angeles,90661,10SEP2017:10:31:20,11,0,0,11,0,0,385,10,38.5,0,,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,#DIV/0!,,,,,
2016,CA,Los Angeles,90662,10SEP2017:10:31:20,11,0,0,7,0,0,466,10,46.6,0,,0,1,0,0,,0,0,,0,0,0,1,0,0,0,0,0,,#DIV/0!,,,,,
