,xYear,County,Rx_count_Pat,Rx_count_Pph,Rx_count_Dis,Pat_count,PillCount_Total_Pph,PillCount_Total_Dis,PillCount_Total_Pat,RxCount_Total_Pat,PatCount_OpBenzo_Pat,MoEquiv_Total_Pph,Schedule2_Rx_Total_Pph,Schedule234Multi_Pat_Total_Pat,PillCount_Schedule234_Rx_Pph,RxCount_Schedule234_Rx_Pph,PillMean_Schedule234_Rx_Pph,PillCount_Schedule2_Rx_Pph,RxCount_Schedule2_Rx_Pph,PillMean_Schedule2_Rx_Pph,RegCount_Pph,RegCount_Dis,PatCount_MultiDisp,PatCount_MultiRxer,InqCount_Pph,InqCount_Dis,PphCount_RxBenzoOpioid,PatCount_Rx90MME,PatCount_Rx40Methadone,Population,Unnamed: 35,PatCount_OpBenzo_Pat.1,RxCount_Schedule234_Rx_Pph.1,PatCount_MultiDisp.1,PatCount_MultiRxer.1
75,2017,Lassen,23110,21266,19830,6077,1876567.0,2693655.0,1926464,22558,538,593458.0,15903,161,80801.0,1162,288.09999999999997,1609827,17389,402.09999999999997,103,22,3,574,14138,7590.0,34,522,33,37144.0,0.0,0.0,0.0,0.0,0.0
76,2017,Los Angeles,3513283,3746880,3715052,1387172,212570295.70999998,239870899.66,195927768,3365477,204055,147894134.0,3137618,51656,24632194.376700003,423040,15573.899999999992,201234971,3406448,17217.099999999988,30273,9782,1087,120291,2224047,3702524.0,11502,173377,4892,9811939.0,0.0,0.0,0.0,0.0,0.0
77,2017,Madera,84486,42424,66699,25942,2536150.0,6104550.0,5997493,81739,1517,1190513.0,29649,1085,218513.0,3948,436.30000000000007,2082528,30517,456.49999999999994,331,131,4,2802,12342,67285.0,109,995,42,150446.0,0.0,0.0,0.0,0.0,0.0
78,2017,Marin,128082,139407,117457,42277,8681803.167,11276958.333999999,8096964,120988,8263,7544738.0,132604,1577,864374.0,13260,1153.0,9457162,145799,1657.8999999999999,1266,245,55,5887,45859,39041.0,463,9558,368,251685.0,0.0,0.0,0.0,0.0,0.0
79,2017,Mariposa,14120,4846,8729,3769,422990.0,698391.0,1151868,13377,237,227434.0,3483,121,38304.0,399,172.7,407436,4312,224.9,30,5,1,367,926,7400.0,15,178,3,16900.0,0.0,0.0,0.0,0.0,0.0
80,2017,Mendocino,81569,68489,73908,21015,4478382.0,6150305.0,5411136,78443,2051,2892564.0,53561,608,222331.0,3528,762.3999999999999,4054451,59631,979.7999999999998,285,67,8,2168,41315,23774.0,156,2822,180,87595.0,0.0,0.0,0.0,0.0,0.0
81,2017,Merced,152730,123416,134776,48562,8893957.0,13293672.0,10894882,148281,5052,4755609.0,90114,1980,671698.0,10902,702.0,6903072,91960,856.4,362,120,12,4653,62583,85112.0,202,4972,267,254483.0,0.0,0.0,0.0,0.0,0.0
82,2017,Modoc,6775,3610,6002,1467,283776.0,504752.0,561003,6582,136,114801.0,2672,53,16765.0,240,287.5,266724,3217,332.4,18,5,0,191,484,952.0,14,114,1,8506.0,0.0,0.0,0.0,0.0,0.0
83,2017,Mono,4688,6337,5604,2047,268297.0,232390.0,235217,4570,149,136338.0,4564,58,23712.0,484,86.0,278780,6307,77.3,44,6,0,141,1123,472.0,25,157,9,12975.0,0.0,0.0,0.0,0.0,0.0
84,2017,Monterey,177228,158079,158880,61039,9501948.0,15545802.5,10706221,171096,8381,8321243.0,127721,2560,1080260.0,19696,1073.8999999999999,8127681,133714,1315.3999999999999,1029,269,19,5043,81121,108506.0,443,8714,267,402842.0,0.0,0.0,0.0,0.0,0.0
85,2017,Napa,91478,88343,77439,25341,5558738.0,6947879.0,5476612,87764,3300,4207189.0,71037,761,326573.0,6143,329.29999999999995,5267497,79646,380.0,494,125,24,3072,36826,21680.0,215,5041,186,137050.0,0.0,0.0,0.0,0.0,0.0
86,2017,Nevada,74160,65725,65566,21274,4698021.0,6757719.0,5637698,70170,2864,3252862.0,53634,711,324831.0,4851,366.59999999999997,4482204,61032,451.8,332,76,6,2887,29515,39178.0,179,3693,239,95997.0,0.0,0.0,0.0,0.0,0.0
87,2017,Orange,1299091,1445665,1303737,477574,85200849.5,92898569.5,76758995,1227679,86627,61467959.0,1287591,18274,8731518.0,154104,4592.0,82398982,1366581,5306.900000000001,10166,4068,403,49807,1160614,1515773.0,4164,79453,2546,3016237.0,0.0,0.0,0.0,0.0,0.0
88,2017,Placer,256719,384939,346247,76769,27772120.5,29443246.0,17790835,243855,17788,16459121.0,324178,2409,1790019.5,27187,977.7,26905027,366873,1177.3,1635,444,60,12460,160329,158980.0,855,23017,1011,351384.0,0.0,0.0,0.0,0.0,0.0
